 word                frequency
 basilisk            4
 basilisks           4
 basimecu            1
 basin               6
 basingstoke         1
 basins              1
 basis               6
 bask                1
 basket              37
 baskets             2
 bass                3
 bassanio            129
 basses              1
 basset              11
 bassianus           45
 basta               1
 bastard             202
 bastardizing        1
 bastardly           1
 bastards            17
 bastardy            9
 basted              1
 bastes              1
 bastinado           3
 basting             2
 bat                 7
 batailles           1
 batch               1
 batchelour          1
 bate                19
 bated               8
 bateless            1
 bates               11
 bath                13
 bathe               7
 bathed              1
 bathes              2
 bathing             1
 baths               1
 bating              1
 batler              1
 bats                3
 batt                9
 battaile            5
 battalia            1
 battalions          1
 batten              2
 batter              7
 battering           2
 batters             3
 battery             10
 battle              123
 battled             1
 battlefield         1
 battlements         8
 battles             19
 batty               1
 bauble              8
 baubles             1
 baubling            1
 bauldricke          1
 bavian              4
 bavin               1
 bawcock             4
 bawd                92
 bawdry              3
 bawds               5
 bawdy               11
 bawl                1
 bawling             1
 bay                 33
 bayes               1
 baying              1
 baynard             3
 bayonne             1
 bays                3
 be                  7412
 beach               5
 beached             1
 beachy              1
 beachèd            1
 beacon              5
 bead                1
 beaded              1
 beadle              16
 beadles             4
 beads               10
 beadsmen            1
 beagle              1
 beagles             1
 beak                5
 beakes              1
 beaks               1
 beam                11
 beamed              3
 beams               27
 bean                1
 beans               1
 bear                581
 beard               96
 bearded             7
 beardless           2
 beards              15
 beare               10
 bearer              13
 bearers             6
 beares              3
 bearest             4
 beareth             1
 bearing             81
 bears               114
 beast               81
 beastliest          1
 beastliness         1
 beastly             22
 beasts              36
 beat                131
 beate               2
 beated              1
 beaten              52
 beates              3
 beating             26
 beatrice            159
 beats               32
 beau                22
 beaufort            22
 beaumond            1
 beaumont            2
 beauteous           44
 beautie             3
 beautied            1
 beauties            17
 beautified          3
 beautiful           16
 beautify            5
 beauty              294
 beaver              6
 beavers             1
 beavy               1
 became              24
 because             200
 bechanc             1
 bechance            2
 bechanced           1
 beck                6
 becking             1
 beckning            1
 beckon              1
 beckoning           1
 beckons             5
 becks               2
 becom               4
 become              155
 becomed             1
 becomes             70
 becoming            9
 becomings           1
 bed                 335
 bedabbled           2
 bedash              1
 bedaub              1
 bedazzled           1
 bedchamber          12
 bedclothes          1
 bedded              3
 bedeck              1
 bedecking           1
 bedew               3
 bedfellow           11
 bedfellowes         1
 bedfellows          1
 bedford             49
 bedimm              1
 bedlam              8
 bedrench            1
 bedrid              2
 beds                31
 bedtime             2
 bedward             1
 bee                 15
 beech               1
 beef                13
 beefs               1
 beehives            1
 been                733
 beene               9
 beer                6
 beere               1
 bees                11
 beest               13
 beetle              7
 beetles             4
 beeves              2
 befall              36
 befallen            1
 befalls             1
 befell              3
 befit               1
 befits              10
 befitted            1
 befitting           1
 befor               1
 before              949
 beforehand          2
 befortune           1
 befriend            6
 befriended          2
 befriends           1
 beg                 106
 began               47
 begd                3
 beget               24
 begets              7
 begetting           4
 begg                26
 beggar              81
 beggared            1
 beggarly            10
 beggars             26
 beggary             12
 begged              1
 begging             12
 begin               124
 beginners           2
 beginning           22
 beginnings          1
 begins              66
 begnawn             1
 begone              4
 begot               27
 begotten            6
 begrim              2
 begs                7
 beguil              19
 beguile             26
 beguiled            4
 beguiles            5
 beguiling           4
 begun               33
 behalf              45
 behalfes            1
 behalfs             1
 behav               2
 behaved             1
 behavedst           1
 behaviors           1
 behaviour           31
 behaviours          6
 behead              1
 beheaded            6
 beheastes           1
 beheld              37
 behest              1
 behests             2
 behind              131
 behinde             2
 behold              183
 beholder            1
 beholders           5
 beholdest           1
 beholding           32
 beholds             4
 behoof              2
 behoofe             1
 behove              3
 behoveful           1
 behoves             4
 behowls             1
 being               754
 bel                 1
 belarius            86
 belch               8
 belches             1
 belching            2
 beldam              2
 beldame             2
 beldams             2
 belee               1
 beleev              1
 beleeve             7
 beleife             1
 beleve              1
 belfry              1
 belgia              2
 belie               10
 belied              8
 belief              14
 beliest             1
